,goods_id,user_id,date,size,text,goods_url,goods_brand,goods_name,help_eval,style_eval,eval_list,rating,review_no,user_sex,user_height,user_weight
1945,1666085,LV.4뉴비_db8046b56a19,2022.12.16,M,"믿고 입는 yale 옷입니다. 체형보정도 잘해주고, 오버핏 느낌으로 입을 수 있어요.",https://www.musinsa.com/app/goods/1666085/0,예일,(23SS) 2 TONE ARCH HOODIE NAVY,0,1,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요']",5.0,36961865,남성 , 164cm , 55kg
1946,2713441,LV.5ggmskc,2022.12.16,XL,색상 짐해서 아주 맘에듭니다귀요미 느낌이에요 굿,https://www.musinsa.com/app/goods/2713441/0,예일,PREPPY UNIVERSITY DAN WAPPEN CREWNECK NAVY,0,0,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요']",5.0,36961756,남성 , 168cm , 75kg
1947,2326935,LV.4뉴비_0d59490f6282,2022.12.16,M,l은 클거같아서 m 샀는데 반팔 입고 바로 입으면 딱 맞는 정도에요 l 정핏은 m 가고 오버핏은 l 가면 될 듯,https://www.musinsa.com/app/goods/2326935/0,예일,(23SS) 2 TONE ARCH HOODIE GRAY,0,0,"['사이즈작아요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요']",5.0,36961592,남성 , 173cm , 70kg
1948,2835396,LV.3뉴비_9aef2e7907db,2022.12.16,L,두툼해서  따뜻하게  입을수  있어서  좋네요  편합니다~~,https://www.musinsa.com/app/goods/2835396/0,예일,WARM UP NO COLLOR FLEECE CARDIGAN BLACK,0,0,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '두께감두꺼워요']",5.0,36956042,남성 , 178cm , 70kg
1949,2317495,LV.3성훈j,2022.12.16,L,세일할때 저렴하게 잘 샀어요디자인도 좋고 편해요만족합니다,https://www.musinsa.com/app/goods/2317495/0,예일,PREPPY Y LOGO SWEAT PANTS LIGHT GRAY,0,0,"['사이즈커요', '밝기밝아요', '색감보통이에요', '두께감두꺼워요']",5.0,36960056,남성 , 177cm , 72kg
1950,2835519,LV.5뉴비_aefdd951,2022.12.16,WS,임산부가 입었을때 기준 제일 작은 사이즈했는데 넉넉하네요,https://www.musinsa.com/app/goods/2835519/0,예일,REVERSIBLE WARM UP QUILTING JACKET IVORY,0,1,"['사이즈커요', '밝기보통이에요', '색감보통이에요', '무게감가벼워요', '보온성보통이에요']",5.0,36959958,여성 , 161cm , 43kg
1951,1727286,LV.3성훈j,2022.12.16,XL(기모),편하게 입을수있고 디자인도 좋아요세일할때 잘 샀네요~,https://www.musinsa.com/app/goods/1727286/0,예일,(22ALL) 2 TONE ARCH SWEAT PANTS GRAY,0,0,"['사이즈커요', '밝기보통이에요', '색감보통이에요', '두께감두꺼워요']",5.0,36959809,남성 , 177cm , 72kg
1952,1776344,LV.5Bomitte5610,2022.12.16,S,셔츠라기보다 남방재질에 가깝구요 얇고 주름이 진짜 잘 가는 천인거같아요ㅠㅠ하지만 옷은 이뿜 편하게 입을숬는 셔츠라 딱 좋네요,https://www.musinsa.com/app/goods/1776344/0,예일,STRIPE HANDSOME DAN SHIRT BLUE,2,1,"['사이즈커요', '밝기밝아요', '색감선명해요', '두께감얇아요']",4.0,36959241,여성 , 160cm , 55kg
1953,2163932,LV.3black8182,2022.12.16,XL,깔끔하고 이뻐요 다른색상조 구매 할생각입니다,https://www.musinsa.com/app/goods/2163932/0,예일,(23SS) [ONEMILE WEAR] SMALL ARCH CREWNECK NAVY,0,0,"['사이즈커요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요']",5.0,36958881,남성 , 178cm , 90kg
1954,2066837,LV.3뉴비_4bab800bc4c7,2022.12.16,F,학교에서 쓰려고 샀는데 귀엽고 좋네요!! 나중에 또 구매예정!!,https://www.musinsa.com/app/goods/2066837/0,예일,THINK PACK,0,0,"['사이즈보통이에요', '밝기밝아요', '색감선명해요', '수납공간넉넉해요', '무게감가벼워요']",5.0,36958848,,,
1955,2156664,LV.4뉴비_aea8067f,2022.12.16,M,3키로 조금 넘는 푸들이이에요~ 집에 있는 옷들이다 늘어나서 그런건지 목이 조금 조이나~ 했는데 애는 괜찮은가봐요~ 좋아해요,https://www.musinsa.com/app/goods/2156664/0,예일,EMBROIDERY UNIVERSITY DAN DOGGY HOODIE GRAY,1,0,[],5.0,36958606,,,
1956,2704962,LV.432453,2022.12.16,M,이너로 입기도 좋고 터틀넥 위에 입어도 이쁘네요. 제 사이즈신 분들은 한 사이즈 업하는 것도 고려해볼만 한 것 같습니다.,https://www.musinsa.com/app/goods/2704962/0,예일,(23SS) WARM+ UP QUILTING JACKET BLACK,0,0,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '무게감적당해요', '보온성보통이에요']",5.0,36958600,남성 , 173cm , 74kg
1957,2853379,LV.6헤헤헿ㅂ,2022.12.16,L,생각보다 작은느낌이라 놀랐지만 따뜻해요 네이비 색감이 진짜 예뻐요,https://www.musinsa.com/app/goods/2853379/0,예일,BOA SHORT PUFFER BLOUSON (PADDING) NAVY,0,0,"['사이즈보통이에요', '밝기보통이에요', '색감선명해요', '무게감가벼워요', '보온성따뜻해요']",5.0,36957095,남성 , 169cm , 64kg
1958,2945928,LV.5wave!,2022.12.16,XL,아주 큐티뽀짝 예일보이가 된 것 같은 기분이 들어오,https://www.musinsa.com/app/goods/2945928/0,예일,FC YALE CREWNECK NAVY,2,0,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요']",5.0,36957058,남성 , 181cm , 85kg
1959,2337103,LV.3뉴비_b2b96fad1f2b,2022.12.16,L,"편해서 너무 좋아요! 청바지, 코듀로이 바지 등 여러 바지들에 어울려요!",https://www.musinsa.com/app/goods/2337103/0,예일,2 TONE ARCH HALF ZIP UP LIGHT GRAY,1,0,"['사이즈커요', '밝기밝아요', '색감선명해요', '두께감보통이에요']",5.0,36326506,여성 , 164cm , 52kg
1960,2704905,LV.6vivir21,2022.12.16,L,적당한 오버핏이라 넣입어도좋고빼입해도 좋아요생각했던 핑크컬러라 만족합니다,https://www.musinsa.com/app/goods/2704905/0,예일,(23SS) [ONEMILE WEAR] OXFORD SMALL ARCH BIG SHIRT PINK,0,0,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요']",5.0,36955555,남성 , 183cm , 68kg
1961,2571144,LV.6뉴비_267e5a85cf17,2022.12.16,FREE,써보니  너무 잘맞고 예뻐서 다른칼라도 보려구요 후드티 바지  세트로입으려구 샀어요 ,https://www.musinsa.com/app/goods/2571144/0,예일,PREPPY UNIVERSITY DAN CAP PG CHARCOAL,0,0,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요']",5.0,36955321,,,
1962,2783026,LV.6뉴비_267e5a85cf17,2022.12.16,M,세트로 입으려고 샀어요 너무맘에 드네요 밝은색살때는 색상이안맞아 힘들었는데 이번에는 찰떡입니다  ,https://www.musinsa.com/app/goods/2783026/0,예일,2 TONE ARCH SWEAT PANTS PG CHARCOAL,0,0,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요']",5.0,36955134,여성 , 158cm , 58kg
1963,2713519,LV.3뉴비_3ed0dae1d6ca,2022.12.16,XL,세일 가격에 저렴하게 득템했네요. 입고 싶던 컬러라 질렀는데 예뻐요. 맘에듭니다.,https://www.musinsa.com/app/goods/2713519/0,예일,APPLIQUE BLOCK Y LOGO HOODIE OATMEAL,0,0,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요']",4.0,36653486,여성 , 167cm , 60kg
1964,2704955,LV.6뉴비_267e5a85cf17,2022.12.16,L,대박 맘에 듭니다  예일 스웻셔츠는 라운드 ㆍ후드 사도사도 또사고 싶네요 ,https://www.musinsa.com/app/goods/2704955/0,예일,2 TONE ARCH PIGMENT HOODIE CHARCOAL,1,0,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요']",5.0,36954964,여성 , 158cm , 58kg
1965,1666085,LV.5젊은어른아이,2022.12.16,M,적당하니 잘 맞고 앞으로도 잘 신고 다닐께요 글씨,https://www.musinsa.com/app/goods/1666085/0,예일,(23SS) 2 TONE ARCH HOODIE NAVY,1,0,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요']",5.0,36954533,남성 , 186cm , 110kg
1966,2713447,LV.3뉴비_5739d2a9,2022.12.16,M,색상이 차분하고 고급스러워 보입니다. 두께감이 적당합니다,https://www.musinsa.com/app/goods/2713447/0,예일,EMBROIDERY UNIVERSITY DAN CREWNECK BROWN,0,0,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요']",4.0,36953993,여성 , 167cm , 56kg
1967,2835510,LV.5alskdj4954,2022.12.16,M,핏도 괜찬고 재질도 좋아서 요즘 잘 입고 다닙니다,https://www.musinsa.com/app/goods/2835510/0,예일,REVERSIBLE WARM UP QUILTING JACKET BLACK / IVORY,0,0,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '무게감가벼워요', '보온성따뜻해요']",5.0,36952498,남성 , 170cm , 60kg
1968,2835519,LV.3뉴비_f6dfb07,2022.12.16,S,블랙프라이데이때 할머니 사드릴려고 기다리고 있다고 사드렸는데 따뜻하고 가볍다고 좋아하시네요 너무 마음에 듭니다,https://www.musinsa.com/app/goods/2835519/0,예일,REVERSIBLE WARM UP QUILTING JACKET IVORY,0,1,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '무게감적당해요', '보온성따뜻해요']",5.0,36952152,여성 , 158cm , 50kg
1969,2326935,LV.3seojun0115,2022.12.16,L(논기모),안에 입기됴 너무 좋고 가을에 입었는데 너무 이뻐요.옷도 편하고 역시 믿고 사는 후드티네요,https://www.musinsa.com/app/goods/2326935/0,예일,(23SS) 2 TONE ARCH HOODIE GRAY,0,1,"['사이즈보통이에요', '밝기보통이에요', '색감선명해요', '두께감보통이에요']",5.0,36952122,남성 , 181cm , 60kg
1970,2326947,LV.3귀족세바,2022.12.16,L,색상은 딱 생각하던데로의 그레이색이고 로고 색감도 찐해가지고 아주 좋습니다.기모는 아니지만 생각보다 두꺼운느낌이 있어 개인적으로 요즘같이 추운 겨울에도 입을 수 있어 아주 만족스럽습니다.사이즈도 딱 정 사이즈라서 펑퍼짐하거나 모자라거나 하지 않아서 좋습니다.청바지 같은거에 코디하기도 편하고 좋습니다!,https://www.musinsa.com/app/goods/2326947/0,예일,(23SS) 2 TONE ARCH USA HOODIE GRAY,0,0,"['사이즈보통이에요', '밝기보통이에요', '색감선명해요', '두께감두꺼워요']",5.0,36950786,남성 , 178cm , 77kg
1971,2713412,LV.3꾸루깅밈,2022.12.16,S,핏도 이쁘고 입기도 편하고 무난한 거 같아요. 잘입구 잇어용,https://www.musinsa.com/app/goods/2713412/0,예일,IVY LEAGUE RUGBY CREWNECK KHAKI,0,0,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요']",5.0,36949487,여성 , 155cm , 43kg
1972,2853384,LV.4나이아가라목포,2022.12.16,M,진짜 입자마자 탄성 나왔어요 너~~~무 귀엽습니다!!!!생각보다 얇아서 보온성 걱정됐는데 안에 두겹정도 껴입으니까 한겨울에도 괜찮았어요오히려 얇아서 부해보이지 않는것 같아요다만 코듀로이라서 먼지가 잘 붙어요,https://www.musinsa.com/app/goods/2853384/0,예일,CORDUROY WARM UP+ SHORT PUFFER (PADDING) NAVY,2,3,"['사이즈커요', '밝기보통이에요', '색감선명해요', '무게감가벼워요', '보온성따뜻해요']",5.0,36949144,여성 , 158cm , 66kg
1973,2900926,LV.3뉴비_97126cde,2022.12.16,S,무신사 세일할때 특템한 아이입니다🌈🌈🌈🌈완전 이뻐요^^^^^^^요즘 살짝 오버핏으로 입는게 대세인만큼딱맞기보다는 살짝 오버핏으로 입을수 있는 사이즈입니다이상 키작녀였습니다🤩🤩🤩🤩,https://www.musinsa.com/app/goods/2900926/0,예일,[선착순종료] 2 TONE ARCH HOODIE GRAY / ROYAL BLUE,0,0,"['사이즈보통이에요', '밝기보통이에요', '색감선명해요', '두께감보통이에요']",5.0,36799099,여성 , 156cm , 47kg
1974,1606364,LV.5벤탕쿠르,2022.12.16,L,기본 맨투맨으로 보유하기에 무난하고 좋습니다,https://www.musinsa.com/app/goods/1606364/0,예일,WAPPEN DAN CREWNECK BLACK,0,0,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요']",5.0,36948498,남성 , 188cm , 73kg
1975,2320002,LV.6성주사랑해양,2022.12.16,L,너무 귀엽게 잘맞아요!! 사이즈도 기대 안했는네 찰떡입니다!!,https://www.musinsa.com/app/goods/2320002/0,예일,EMBROIDERY UNIVERSITY DAN DOGGY CREWNECK IVORY,0,0,[],5.0,36948103,,,
1976,1666085,LV.4junyng,2022.12.16,M,핏도 마음에 들고 소재도 탄탄해서 만족하면서 입고있어요.,https://www.musinsa.com/app/goods/1666085/0,예일,(23SS) 2 TONE ARCH HOODIE NAVY,0,0,"['사이즈보통이에요', '밝기보통이에요', '색감선명해요', '두께감보통이에요']",5.0,36947762,남성 , 173cm , 72kg
1977,2319998,LV.3유으림,2022.12.16,XL,좋습니다 울 강쥐랑커플로 샀어용 ~~ 완전 찰떡 넘 이뻐요 사이즈도 딱 입니다!!,https://www.musinsa.com/app/goods/2319998/0,예일,EMBROIDERY UNIVERSITY DAN DOGGY HOODIE BLACK,0,0,[],5.0,36945370,,,
1978,2156664,LV.3유으림,2022.12.16,XL,좋아요 ~~~ 등길이가 좀 길긴한데폼을 넉넉히 입혀야 활동할때 안 불편할 거 같아서만족합니다 !!!,https://www.musinsa.com/app/goods/2156664/0,예일,EMBROIDERY UNIVERSITY DAN DOGGY HOODIE GRAY,0,0,[],5.0,36945266,,,
1979,2326493,LV.3유으림,2022.12.16,M(논기모),생각보다 딱 맞았어요 오버핏 할라면 한 사이즈 크게 가야될 거 같은데길이가 길거 같아서 그냥 이 사이즈가 난 거 같아용 ,https://www.musinsa.com/app/goods/2326493/0,예일,(23SS) EMBROIDERY UNIVERSITY DAN HOODIE GRAY,1,0,"['사이즈보통이에요', '밝기밝아요', '색감보통이에요', '두께감얇아요']",5.0,36945100,여성 , 167cm , 48kg
1980,2163932,LV.3부산골프왕,2022.12.16,XL,편하게 입기도 좋고 사이즈도 딱이네요 만족스러워요,https://www.musinsa.com/app/goods/2163932/0,예일,(23SS) [ONEMILE WEAR] SMALL ARCH CREWNECK NAVY,0,0,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요']",5.0,36944914,남성 , 180cm , 93kg
1981,2782923,LV.4모찌22222,2022.12.16,L,핏 엄청 이뻐요! 약간 이쁘게 박시해서 어디든 잘 어울릴 것 같습니다!,https://www.musinsa.com/app/goods/2782923/0,예일,EMBROIDERY UNIVERSITY DAN RUGBY CREWNECK NAVY,1,0,"['사이즈커요', '밝기보통이에요', '색감선명해요', '두께감보통이에요']",5.0,36944049,여성 , 173cm , 58kg
1982,1886954,LV.3멤버_783bc494fb95,2022.12.16,M,적당한 세미오버에 흰색이아니라 살짝 아이보리여서 좋아요 곰돌이 넘나귀엽,https://www.musinsa.com/app/goods/1886954/0,예일,(23SS) EMBROIDERY UNIVERSITY DAN TEE STRIPE,0,0,"['사이즈보통이에요', '밝기보통이에요', '색감선명해요', '두께감보통이에요']",5.0,36943609,남성 , 166cm , 60kg
1983,2683529,LV.6hamao,2022.12.16,S,딱맞는 핏으로 입으려고 삼. 따드하고 이뻐요. 추천,https://www.musinsa.com/app/goods/2683529/0,예일,(23SS) WARM+ UP QUILTING JACKET IVORY,0,0,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '무게감적당해요', '보온성보통이에요']",5.0,36943286,남성 , 169cm , 67kg
1984,2815871,LV.5불먹는 하마,2022.12.16,M,생각보다 너무나 얇아서 겨울에는 입기 어렵습니다,https://www.musinsa.com/app/goods/2815871/0,예일,SMALL 2 TONE ARCH RUGBY KNIT BLACK,0,0,"['사이즈보통이에요', '밝기밝아요', '색감보통이에요', '두께감얇아요', '촉감평범해요']",3.0,36943099,남성 , 176cm , 64kg
1985,2058169,LV.4미믐미믐,2022.12.16,S,예뻐요오. 강아지 귀여워요오. 시보리 쫀쫀해요오.,https://www.musinsa.com/app/goods/2058169/0,예일,(23SS) EMBROIDERY UNIVERSITY DAN LS WHITE,0,0,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요']",5.0,36942604,남성 , 169cm , 69kg
1986,2713549,LV.3뉴비_1a66be4d,2022.12.16,M,휘뚜루빠뚜루 잘 입을 수 있어요허리는 많이 큽니다 그래도 꽉 묶고 골반에 걸쳐 입어도 이뻐요:)핏돞마음에 들고 편해서 진짜 자주 입고 있어요 겨울에 입기에는 조금 얇은 듯합니당,https://www.musinsa.com/app/goods/2713549/0,예일,(23SS) [ONEMILE WEAR] 2PACK SMALL ARCH SWEAT PANTS GRAY / BLACK,0,0,"['사이즈커요', '밝기보통이에요', '색감선명해요', '두께감보통이에요']",4.0,36942486,여성 , 170cm , 52kg
1987,2865280,LV.4ㅑㅡㄱㅎ,2022.12.16,S,예뻐용 블랙프라이대이 할인할때 샀는데 싸게 잘 산거같아요 크지도 않고 작지도 않고 딱 맞아요,https://www.musinsa.com/app/goods/2865280/0,예일,ARAN CABLE EMBLEM KNIT IVORY,0,0,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요', '촉감평범해요']",5.0,36942136,여성 , 161cm , 53kg
